"rh","12","16","20-1","20-2","20-3","24","28","32","4","8"
0,62.089,61.057,60.004,60.042,60.041,59.09,57.944,56.73,63.812,63.01
10,61.85,60.639,59.499,59.492,59.619,58.387,56.873,55.26,63.681,62.81
20,61.027,59.726,58.335,58.301,58.415,56.954,55.11,53.312,63.1,62.156
30,59.585,57.995,56.389,56.349,56.477,54.732,52.672,50.512,62.035,60.833
40,57.236,55.429,53.555,53.522,53.678,51.783,49.405,47.16,60.142,58.812
50,53.891,51.893,49.772,49.719,49.967,47.899,45.278,42.998,57.337,55.739
60,49.582,47.437,45.24,45.163,45.563,43.191,40.695,38.595,53.401,51.612
70,44.359,42.264,40.028,40.017,40.46,38.339,36.027,34.374,48.441,46.536
80,39.03,37.119,35.325,35.369,35.709,34.141,32.372,31.354,42.864,40.997
90,35.009,33.834,32.551,32.671,33.007,31.917,30.726,29.732,38.235,36.624
95,34.091,33.147,32.086,32.282,32.618,31.642,30.519,29.681,36.789,35.437
